ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Arawa-22_axe-1-1,Arawa-22_axe-1,barí,217,false,expert,,b a r í,SCA,,1
Banawa-22_axe-1-1,Banawa-22_axe-1,bari,217,false,expert,,b a r i,SCA,,1
Deni-22_axe-1-1,Deni-22_axe-1,bari,217,false,expert,,b a r i,SCA,,1
Jamamadi-22_axe-1-1,Jamamadi-22_axe-1,bari,217,false,expert,,b a r i,SCA,,1
Jarawara-22_axe-1-1,Jarawara-22_axe-1,bari,217,false,expert,,b a r i,SCA,,1
Kulina-22_axe-1-1,Kulina-22_axe-1,dzami,5,false,expert,,dz a m i,SCA,,1
Kulina-22_axe-2-1,Kulina-22_axe-2,baɾi,217,false,expert,,b a ɾ i,SCA,,1
Sorowaha-22_axe-1-1,Sorowaha-22_axe-1,baaɾi,217,false,expert,,b aː ɾ i,SCA,,1
Katawishi-22_axe-1-1,Katawishi-22_axe-1,toɲhi,810,false,expert,,t o ɲ h i,SCA,,1
ProtoArawan-22_axe-1-1,ProtoArawan-22_axe-1,bari,217,false,expert,,b a r i,SCA,,1
Paumari-22_axe-1-1,Paumari-22_axe-1,dʒori,1010,false,expert,,dʒ o r i,SCA,,1
Arawa-193_good-1-1,Arawa-193_good-1,amoza,8,false,expert,,a m o z a,SCA,,1
Banawa-193_good-1-1,Banawa-193_good-1,amosa,8,false,expert,,a m o s a,SCA,,1
Deni-193_good-1-1,Deni-193_good-1,amotsʰi,8,false,expert,,a m o tsʰ i,SCA,,1
Jamamadi-193_good-1-1,Jamamadi-193_good-1,amosa,8,false,expert,,a m o s a,SCA,,1
Jarawara-193_good-1-1,Jarawara-193_good-1,amosa,8,false,expert,,a m o s a,SCA,,1
Paumari-193_good-1-1,Paumari-193_good-1,dʒaha,763,false,expert,,dʒ a h a,SCA,,1
Paumari-193_good-2-1,Paumari-193_good-2,makʰani,762,false,expert,,m a kʰ a n i,SCA,,1
Amarakaeri-193_good-1-1,Amarakaeri-193_good-1,ndak,874,false,expert,,n/d a k,SCA,,1
ProtoArawan-193_good-1-1,ProtoArawan-193_good-1,amotsʰi,8,false,expert,,a m o tsʰ i,SCA,,1
Kanamari-193_good-1-1,Kanamari-193_good-1,nuk,874,false,expert,,n u k,SCA,,1
KatukinaBia-193_good-1-1,KatukinaBia-193_good-1,nuk,874,false,expert,,n u k,SCA,,1
Katawishi-193_good-1-1,Katawishi-193_good-1,ahã,763,false,expert,,- a h ã,SCA,,1
Arawa-161_fire-1-1,Arawa-161_fire-1,ʃihú,259,false,expert,,ʃ i h ú,SCA,,1
Banawa-161_fire-1-1,Banawa-161_fire-1,jifo,259,false,expert,,j i f o,SCA,,1
Deni-161_fire-1-1,Deni-161_fire-1,jipho,259,false,expert,,j i pʰ o,SCA,,1
Jamamadi-161_fire-1-1,Jamamadi-161_fire-1,jiɸo,259,false,expert,,j i ɸ o,SCA,,1
Jarawara-161_fire-1-1,Jarawara-161_fire-1,jiɸo,259,false,expert,,j i ɸ o,SCA,,1
Kulina-161_fire-1-1,Kulina-161_fire-1,jipʰo,259,false,expert,,j i pʰ o,SCA,,1
Paumari-161_fire-1-1,Paumari-161_fire-1,siho,259,false,expert,,s i h o,SCA,,1
Sorowaha-161_fire-1-1,Sorowaha-161_fire-1,abi,1251,false,expert,,a b i,SCA,,1
Katawishi-161_fire-1-1,Katawishi-161_fire-1,nanhi,817,false,expert,,n a n h i,SCA,,1
ProtoArawan-161_fire-1-1,ProtoArawan-161_fire-1,jipho,259,false,expert,,j i pʰ o,SCA,,1
Arawa-165_fish-1-1,Arawa-165_fish-1,abaigaua,201,false,expert,,- a b a i g a u - a,SCA,,1
Banawa-165_fish-1-1,Banawa-165_fish-1,aba,201,false,expert,,- a b - - - - - - a,SCA,,1
Banawa-165_fish-2-1,Banawa-165_fish-2,korobo,122,false,expert,,k o r o b o,SCA,,1
Banawa-165_fish-3-1,Banawa-165_fish-3,siraba,164,false,expert,,s i r a b a,SCA,,1
Deni-165_fish-1-1,Deni-165_fish-1,aba,201,false,expert,,- a b - - - - - - a,SCA,,1
Deni-165_fish-2-1,Deni-165_fish-2,korobo,122,false,expert,,k o r o b o,SCA,,1
Jamamadi-165_fish-1-1,Jamamadi-165_fish-1,aba,201,false,expert,,- a b - - - - - - a,SCA,,1
Jamamadi-165_fish-2-1,Jamamadi-165_fish-2,korobo,122,false,expert,,k o r o b o,SCA,,1
Jamamadi-165_fish-3-1,Jamamadi-165_fish-3,siraba,164,false,expert,,s i r a b a,SCA,,1
Jarawara-165_fish-1-1,Jarawara-165_fish-1,aba,201,false,expert,,- a b - - - - - - a,SCA,,1
Jarawara-165_fish-2-1,Jarawara-165_fish-2,korobo,122,false,expert,,k o r o b o,SCA,,1
Jarawara-165_fish-3-1,Jarawara-165_fish-3,siraba,164,false,expert,,s i r a b a,SCA,,1
Kulina-165_fish-1-1,Kulina-165_fish-1,aba,201,false,expert,,- a b - - - - - - a,SCA,,1
Kulina-165_fish-2-1,Kulina-165_fish-2,kʰoɾobo,122,false,expert,,kʰ o ɾ o b o,SCA,,1
Paumari-165_fish-1-1,Paumari-165_fish-1,abaisana,201,false,expert,,- a b a i s a - n a,SCA,,1
Paumari-165_fish-2-1,Paumari-165_fish-2,siraba,164,false,expert,,s i r a b a,SCA,,1
Sorowaha-165_fish-1-1,Sorowaha-165_fish-1,aba,201,false,expert,,- a b - - - - - - a,SCA,,1
Sorowaha-165_fish-2-1,Sorowaha-165_fish-2,aaba,201,false,expert,,- aː b - - - - - - a,SCA,,1
ProtoArawan-165_fish-1-1,ProtoArawan-165_fish-1,aba,201,false,expert,,- a b - - - - - - a,SCA,,1
Amarakaeri-165_fish-1-1,Amarakaeri-165_fish-1,mbiʔigŋ,872,false,expert,,m/b i ʔ i g ŋ,SCA,,1
